번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,낚시터전화번호,수면적,주요어종,최대수용인원,수상시설물유형,이용요금,주요포인트,안전시설현황,편익시설현황,주변관광지,관리기관전화번호,관리기관명,데이터기준일자
1,제일낚시터,평지,부산광역시 강서구 낙동북로73번가길 200-5 (강동동),부산광역시 강서구 강동동 10-2,35.22365536,128.940412,051-972-6782,2120,"붕어, 잉어",30,해당없음,"15,000원",,"구명조끼, 구명부환, 소화기 등","관리실, 방송실, 화장실, 세면소 등",김해왕릉,051-970-4486,부산광역시 강서구청,2024-11-21
2,천성낚시터,바다,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,35.02301425,128.8095884,051-972-3727,1364,해면어류,30,수상방갈로,미정,,"구명조끼, 구명부환, 소화기 등","관리실, 방송실, 화장실, 세면소 등","대항어촌체험마을,연대봉",051-970-4486,부산광역시 강서구청,2024-11-21
3,동선낚시터,바다,부산광역시 강서구 동선길 107 (동선동),부산광역시 강서구 동선동 418,35.05283693,128.8324001,051-973-0688,1308,해면어류,26,수상방갈로,미정,,"구명조끼, 구명부환, 소화기 등","관리실, 방송실, 화장실, 세면소 등",동선새바지 갈맷길,051-970-4486,부산광역시 강서구청,2024-11-21
4,동삼어촌계 유어장 낚시터,바다,부산광역시 영도구 하리해안길 17-5,부산광역시 영도구 동삼동 1181,35.06978643,129.0812768,051-405-0207,164000,"도다리, 볼락류 등 기타해면어류",144,바지형 해상낚시터4동,"성인 25,000원, 어린이 15,000원  *낚시대 대어료 :5,000원",낚시터 주변 해역,"구명부환, 구명조끼, 소화기, 구급약품 등","화장실, 통신장치 등","태종대, 흰여울문화마을 등",051-419-4501,부산광역시 영도구청,2024-07-10
5,대원관광농원,저수지,"부산광역시 기장군 기장읍 내리길 57, 대원관광농원",부산광역시 기장군 기장읍 내리 701-27 대원관광농원,35.211047,129.2039,051-721-5862,1599,"잉어,붕어",50,없음,"10,000원",,"구명조끼, 소화기 등","화장실, 쓰레기통",,,기장군청 해양수산과,2023-05-02
6,이오피쉬,기타,"부산광역시 기장군 기장읍 대변로 153, 이오피쉬",부산광역시 기장군 기장읍 대변리 418-3,35.2257,129.2288,,254,"우럭, 참돔 등",50,없음,"70,000원",,"구명조끼,소화기 등","화장실, 쓰레기통",,,기장군청 해양수산과,2023-05-02
7,용소사계절,저수지,"부산광역시 기장군 장안읍 기장대로 1665-73, 용소사계절",부산광역시 기장군 장안읍 용소리 170-4,35.34273,129.24519,,276,붕어,50,없음,"10,000원",,"구명조끼,소화기 등","화장실, 쓰레기통",,,기장군청 해양수산과,2023-05-02
8,부산실내바다낚시터,기타,"부산광역시 북구 효열로 275, 지하1층 (금곡동)",부산광역시 북구 금곡동 55-2 지하1층,35.26720059,129.0183491,051-362-3338,62.5,"바다랍스터,능성어,돌돔,참돔 등",24,고정형,"30,000원",,"구명부환,소화기,구급약품","화장실, 세면소, 쓰레기통",없음,051-309-4474,부산광역시 북구,2024-07-01
1,용곡낚시터,저수지,충청북도 청주시 상당구 미원면 미원초정로 685-26,충청북도 청주시 상당구 미원면 종암리 449,36.683613,127.636857,,284597,붕어+잉어+향어,44,고정형,20000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
2,황청낚시터,저수지,충청북도 청주시 상당구 남일면 황청리길 119,충청북도 청주시 상당구 남일면 황청리 163,36.594752,127.555039,,9000,붕어+잉어+향어,44,고정형,25000원,,구명부환+소화기+구급약품+전기설비,화장실+쓰레기통,,,청주시청,2020-07-20
