번호,낚시터명,낚시터유형,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
1,제일낚시터,평지,부산광역시 강서구 낙동북로73번가길 200-5 (강동동),부산광역시 강서구 강동동 10-2,35.22365536,128.940412
2,천성낚시터,바다,부산광역시 강서구 거가대로 2571 (천성동),부산광역시 강서구 천성동 488-6,35.02301425,128.8095884
3,동선낚시터,바다,부산광역시 강서구 동선길 107 (동선동),부산광역시 강서구 동선동 418,35.05283693,128.8324001
4,동삼어촌계 유어장 낚시터,바다,부산광역시 영도구 하리해안길 17-5,부산광역시 영도구 동삼동 1181,35.06978643,129.0812768
5,대원관광농원,저수지,"부산광역시 기장군 기장읍 내리길 57, 대원관광농원",부산광역시 기장군 기장읍 내리 701-27 대원관광농원,35.211047,129.2039
6,이오피쉬,기타,"부산광역시 기장군 기장읍 대변로 153, 이오피쉬",부산광역시 기장군 기장읍 대변리 418-3,35.2257,129.2288
7,용소사계절,저수지,"부산광역시 기장군 장안읍 기장대로 1665-73, 용소사계절",부산광역시 기장군 장안읍 용소리 170-4,35.34273,129.24519
8,부산실내바다낚시터,기타,"부산광역시 북구 효열로 275, 지하1층 (금곡동)",부산광역시 북구 금곡동 55-2 지하1층,35.26720059,129.0183491
9,용곡낚시터,저수지,충청북도 청주시 상당구 미원면 미원초정로 685-26,충청북도 청주시 상당구 미원면 종암리 449,36.683613,127.636857
10,황청낚시터,저수지,충청북도 청주시 상당구 남일면 황청리길 119,충청북도 청주시 상당구 남일면 황청리 163,36.594752,127.555039
11,한계리낚시터,저수지,충청북도 청주시 상당구 가덕면 한계1길 170,충청북도 청주시 상당구 가덕면 한계리 294-1,36.606594,127.562466
12,중리낚시터,저수지,충청북도 청주시 상당구 미원면 쌍이운교로 262,충청북도 청주시 상당구 미원면 중리 316-1,36.669118,127.665454
13,이정골낚시터,저수지,,충청북도 청주시 상당구 용정동 23-1,36.636061,127.523977
14,장자골낚시터,저수지,충청북도 청주시 상당구 문의면 남계1길 3,충청북도 청주시 상당구 문의면 남계리 161-2,36.535554,127.503843
15,척산낚시터,저수지,,충청북도 청주시 서원구 남이면 척산리 176-2,36.559086,127.453531
16,일신낚시터,평지,충청북도 청주시 청원구 오창읍 일신길 34-27,충청북도 청주시 청원구 오창읍 일신리 302-1,36.756746,127.470374
17,유호정낚시터,저수지,충청북도 청주시 청원구 내수읍 우산2길 65,충청북도 청주시 청원구 내수읍 우산리 94-2,36.710498,127.412345
18,부연낚시터,저수지,충청북도 청주시 청원구 북이면 신기초정로 335,충청북도 청주시 청원구 북이면 부연리 280,36.736716,127.573571
19,초정낚시터,저수지,충청북도 청주시 청원구 내수읍 세교초정로 369,충청북도 청주시 청원구 내수읍 우산리 172,36.714903,127.599766
20,비상낚시터,저수지,충청북도 청주시 청원구 내수읍 비상길 22-58,충청북도 청주시 청원구 내수읍 비상리 508,36.704427,127.580032
21,송말낚시터,저수지,충청북도 청주시 흥덕구 지동로75번길 39 (지동동),충청북도 청주시 흥덕구 지동동 186-1,36.642624,127.412433
22,소로낚시터,저수지,충청북도 청주시 흥덕구 옥산면 소로2길 148,충청북도 청주시 흥덕구 옥산면 소로리 75-1,36.697368,127.401441
23,호암낚시터,저수지,충청북도 청주시 흥덕구 서부로 988-194 (석곡동),충청북도 청주시 흥덕구 석곡동 317-1,36.606843,127.418748
24,공북낚시터,저수지,충청북도 청주시 흥덕구 오송읍 정중연제로 651-84,충청북도 청주시 흥덕구 오송읍 공북리 산 58,36.652114,127.312772
25,성화낚시터,평지,충청북도 청주시 서원구 성화로 43-9 (성화동),충청북도 청주시 서원구 성화동 199-1,36.608749,127.446669
26,주성낚시터,평지,"충청북도 청주시 청원구 내수읍 도원세교로 124-88, 주성낚시터",충청북도 청주시 청원구 내수읍 덕암리 573 주성낚시터,36.700498,127.536579
27,옥산낚시터,평지,,충청북도 청주시 흥덕구 신촌동 413-9,36.653982,127.386549
28,연정낚시터,평지,충청북도 청주시 흥덕구 강내면 연정1길 26,충청북도 청주시 흥덕구 강내면 연정리 91,36.581306,127.380048
29,매전,저수지,,충청북도 괴산군 감물면 매전리 362,36.81828245,127.8860133
30,신흥,저수지,,충청북도 괴산군 불정면 신흥리 701-3,36.87440983,127.7893156
31,문광,저수지,,충청북도 괴산군 문광면 양곡리 3-4,36.769021,127.7466789
32,박달산,저수지,,충청북도 괴산군 장연면 추점리 58,36.84527458,127.9539078
33,추산,저수지,,충청북도 괴산군 불정면 추산리 105,36.90966566,127.8198779
34,어의곡낚시터,저수지,충청북도 단양군 매포읍 단양로 1317-8,충청북도 단양군 매포읍 응실리 125-1,37,128.3
35,오동낚시터,저수지,충청북도 보은군 회인면 오동4길 89,충청북도 보은군 회인면 오동리 303-4,36.5226,127.5813
36,입큰붕어낚시터,기타,충청북도 옥천군 동이면 세산2길 10,충청북도 옥천군 동이면 세산리 678-8,36.2707834,127.6026089
37,비야골낚시터,기타,"충청북도 옥천군 군북면 비야대정로 282-94, 낚시터",충청북도 옥천군 군북면 증약리 319-2 낚시터,36.3532041,127.5250911
38,오룡낚시터,저수지,"충청북도 옥천군 이원면 백지길 169-1, 주택",충청북도 옥천군 이원면 백지리 793 주택,36.2282367,127.6764916
39,의평낚시터,저수지,"충청북도 옥천군 이원면 의평길 76, 주택",충청북도 옥천군 이원면 의평리 540-3 주택,36.2111008,127.6231871
40,백지리낚시터,저수지,충청북도 옥천군 이원면 백지1길 38-12,충청북도 옥천군 이원면 백지리 621-3,36.2341709,127.6762404
